epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1237.55,0.98606,2.65382,1.31477,0.46813,0.65252,0.62537,0.48262,0.8982,2.18411,1.42781,0.000472752,0.000472752,0.000472752
2,2340.5,0.97662,1.62862,1.28735,0.49746,0.52318,0.54233,0.40645,0.95144,1.56796,1.46873,0.000930293,0.000930293,0.000930293
3,3471.25,0.91808,1.44915,1.24584,0.69634,0.58753,0.6495,0.45244,1.08526,1.97158,1.64737,0.00136897,0.00136897,0.00136897
4,4658.9,0.91094,1.41251,1.22708,0.6343,0.68339,0.71969,0.55741,0.92279,1.41067,1.43609,0.00134412,0.00134412,0.00134412
5,5751.31,0.84201,1.30359,1.18378,0.65887,0.66057,0.71507,0.55607,0.85127,1.3996,1.35329,0.00131582,0.00131582,0.00131582
6,6906.87,0.85824,1.24607,1.17676,0.78225,0.76254,0.81479,0.66324,0.75221,0.98391,1.25558,0.00128753,0.00128753,0.00128753
7,8080.59,0.81928,1.18845,1.16238,0.83264,0.77095,0.85877,0.68973,0.78181,0.90773,1.2935,0.00125923,0.00125923,0.00125923
8,9236.64,0.80282,1.13676,1.14651,0.78369,0.74044,0.82054,0.64308,0.79166,1.04301,1.28532,0.00123094,0.00123094,0.00123094
9,10363.8,0.80031,1.11993,1.1404,0.86675,0.78788,0.87066,0.70893,0.73186,0.77335,1.23589,0.00120265,0.00120265,0.00120265
10,11462.3,0.78446,1.06903,1.13864,0.7807,0.77918,0.83485,0.68292,0.71395,1.04773,1.19873,0.00117435,0.00117435,0.00117435
11,12669.6,0.77949,1.02399,1.12677,0.84561,0.78271,0.86233,0.71005,0.66077,0.79335,1.18206,0.00114606,0.00114606,0.00114606
12,13762.6,0.74054,1.00302,1.10844,0.74913,0.70036,0.8,0.66877,0.65012,1.03715,1.16906,0.00111776,0.00111776,0.00111776
13,14729.2,0.73692,0.96879,1.10151,0.81358,0.80422,0.86705,0.70246,0.64985,0.76461,1.1581,0.00108947,0.00108947,0.00108947
14,15679.1,0.72295,0.94868,1.09602,0.88511,0.81332,0.89013,0.73678,0.68158,0.71383,1.19568,0.00106118,0.00106118,0.00106118
15,16636,0.7498,0.96652,1.10269,0.84612,0.81751,0.87645,0.7383,0.61675,0.75217,1.13009,0.00103288,0.00103288,0.00103288
16,17591,0.72193,0.94173,1.09143,0.86299,0.77754,0.86207,0.71942,0.64961,0.77108,1.15383,0.00100459,0.00100459,0.00100459
17,18532.5,0.71353,0.94389,1.08811,0.86081,0.806,0.88464,0.74536,0.61101,0.70078,1.12424,0.000976293,0.000976293,0.000976293
18,19472.4,0.68945,0.88761,1.07697,0.87129,0.82809,0.90588,0.76614,0.57181,0.6767,1.09684,0.000947999,0.000947999,0.000947999
