epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,404.77,1.7674,1.69951,1.45597,0.57221,0.41176,0.45621,0.19928,2.01942,2.51784,1.79772,0.0017228,0.0017228,0.0017228
16,429.377,1.85907,1.75677,1.53234,0.43193,0.53701,0.4763,0.19921,1.93288,2.56768,1.81725,0.001703,0.001703,0.001703
17,454.061,1.84348,1.67942,1.53366,0.50954,0.61181,0.53085,0.19111,1.99609,2.47445,1.8747,0.0016832,0.0016832,0.0016832
18,479.015,1.81462,1.54538,1.49724,0.53544,0.52941,0.58977,0.21759,2.02474,2.34317,1.78627,0.0016634,0.0016634,0.0016634
19,503.919,1.84814,1.6385,1.50173,0.65397,0.35294,0.39055,0.16853,2.01512,2.58064,1.73897,0.0016436,0.0016436,0.0016436
20,533.692,1.74143,1.47234,1.38661,0.61461,0.47059,0.41105,0.18267,2.05217,2.69357,1.885,0.0016238,0.0016238,0.0016238
21,570.987,1.71744,1.54492,1.43804,0.61181,0.64706,0.58292,0.25604,1.95665,2.57103,1.78556,0.001604,0.001604,0.001604
22,596.649,1.71383,1.49661,1.40592,0.68153,0.75573,0.73581,0.32878,1.94181,2.34945,1.72957,0.0015842,0.0015842,0.0015842
23,621.778,1.68595,1.44204,1.393,0.64757,0.70588,0.64151,0.30409,1.92726,2.29494,1.80971,0.0015644,0.0015644,0.0015644
24,646.816,1.67072,1.37401,1.37431,0.80258,0.58824,0.72681,0.34258,1.96846,2.1308,1.86604,0.0015446,0.0015446,0.0015446
25,671.005,1.57713,1.31854,1.33407,0.71868,0.76471,0.76262,0.35406,2.05715,1.9988,1.85253,0.0015248,0.0015248,0.0015248
26,695.286,1.72301,1.34305,1.38977,0.7976,0.69599,0.77051,0.26882,1.9705,2.20017,1.82738,0.001505,0.001505,0.001505
27,719.998,1.55349,1.27384,1.31655,0.58736,0.67057,0.65239,0.25573,1.99587,2.34403,1.82789,0.0014852,0.0014852,0.0014852
28,744.885,1.64868,1.3718,1.38875,0.59715,0.70588,0.63122,0.24749,1.96462,2.23435,1.77447,0.0014654,0.0014654,0.0014654
29,770.565,1.65879,1.33529,1.40637,0.47931,0.58824,0.54713,0.23295,2.23102,2.03284,1.80617,0.0014456,0.0014456,0.0014456
30,796.07,1.64498,1.32724,1.34687,0.76238,0.75542,0.70521,0.30301,2.16089,1.69533,1.90092,0.0014258,0.0014258,0.0014258
31,822.003,1.56717,1.30085,1.32634,0.69819,0.68127,0.62234,0.29443,1.89386,2.26846,1.84359,0.001406,0.001406,0.001406
32,847.577,1.59938,1.23452,1.35574,0.51848,0.70588,0.5936,0.29531,1.88982,1.87431,1.76173,0.0013862,0.0013862,0.0013862
33,872.625,1.53391,1.22048,1.31731,0.56451,0.76471,0.63385,0.28666,1.88613,1.8687,1.68725,0.0013664,0.0013664,0.0013664
34,896.994,1.56117,1.20804,1.31607,0.66462,0.82353,0.72182,0.37025,1.87744,1.83353,1.67149,0.0013466,0.0013466,0.0013466
35,921.7,1.54048,1.1773,1.31115,0.55329,0.82353,0.57871,0.26188,1.87659,1.97373,1.68935,0.0013268,0.0013268,0.0013268
36,946.59,1.56243,1.13994,1.32595,0.55072,0.82353,0.57357,0.23604,1.81716,2.19167,1.63107,0.001307,0.001307,0.001307
37,971.27,1.49282,1.09465,1.26491,0.5485,0.47059,0.45777,0.19049,1.88696,2.40204,1.65551,0.0012872,0.0012872,0.0012872
38,996.628,1.52077,1.11968,1.26071,0.46914,0.70588,0.49188,0.2061,1.83706,2.29848,1.66628,0.0012674,0.0012674,0.0012674
39,1035.07,1.49433,1.09338,1.27934,0.60181,0.64706,0.58574,0.27969,1.90045,2.08173,1.71216,0.0012476,0.0012476,0.0012476
40,1065.37,1.53011,1.09895,1.29483,0.68678,0.58824,0.63935,0.33842,1.91718,2.1174,1.78559,0.0012278,0.0012278,0.0012278
41,1091.5,1.47733,1.07173,1.25745,0.74115,0.58824,0.64232,0.35138,1.91095,1.94826,1.81182,0.001208,0.001208,0.001208
42,1116.5,1.46973,1.0534,1.24574,0.78468,0.70588,0.74005,0.36596,1.9059,1.74156,1.78749,0.0011882,0.0011882,0.0011882
43,1141.17,1.4597,1.02958,1.23372,0.52009,0.70588,0.55264,0.27791,2.07198,1.63466,1.95655,0.0011684,0.0011684,0.0011684
44,1165.72,1.39196,1.00965,1.22588,0.45014,0.52973,0.48809,0.26101,2.09637,1.71417,1.93137,0.0011486,0.0011486,0.0011486
45,1190.29,1.40404,1.05076,1.24492,0.64992,0.70588,0.59644,0.27494,2.1288,1.62823,2.08916,0.0011288,0.0011288,0.0011288
46,1214.94,1.311,0.9391,1.17722,0.66849,0.76471,0.64904,0.29722,2.06545,1.6438,2.04617,0.001109,0.001109,0.001109
47,1240.57,1.45908,1.01366,1.24036,0.71649,0.82353,0.77435,0.34994,2.03894,1.48061,2.05929,0.0010892,0.0010892,0.0010892
48,1266.63,1.28409,0.90153,1.18433,0.78329,0.76471,0.70517,0.30263,2.06417,1.3679,1.96829,0.0010694,0.0010694,0.0010694
49,1295.55,1.36337,0.92562,1.19,0.67136,0.76471,0.64101,0.2886,1.97503,1.50358,1.90001,0.0010496,0.0010496,0.0010496
50,1334.95,1.42442,0.95909,1.19812,0.84513,0.64236,0.62998,0.26543,2.04065,1.68456,1.98235,0.0010298,0.0010298,0.0010298
51,1359.98,1.38912,1.11528,1.26085,0.55414,0.58504,0.51301,0.23509,2.1423,1.74363,2.09231,0.00101,0.00101,0.00101
52,1384.64,1.32912,0.89691,1.16953,0.63294,0.58824,0.4961,0.22871,2.09473,1.73622,2.0377,0.0009902,0.0009902,0.0009902
53,1409.32,1.37894,0.96727,1.21219,0.59689,0.58824,0.57057,0.27528,1.94627,1.66545,1.91549,0.0009704,0.0009704,0.0009704
54,1433.78,1.34572,0.92515,1.19686,0.51255,0.76471,0.59753,0.27255,1.93493,1.70058,1.90687,0.0009506,0.0009506,0.0009506
55,1458.38,1.25006,0.84262,1.15779,0.56497,0.58824,0.56801,0.26414,1.9437,1.90975,1.97778,0.0009308,0.0009308,0.0009308
56,1484.11,1.28024,0.87767,1.15336,0.67496,0.58824,0.56789,0.26312,1.9229,1.75375,1.99769,0.000911,0.000911,0.000911
57,1509.94,1.16622,0.85553,1.12394,0.71006,0.58824,0.57234,0.26851,1.98078,1.61508,1.99801,0.0008912,0.0008912,0.0008912
58,1535.89,1.20963,0.84514,1.13679,0.59425,0.64706,0.61316,0.26136,2.03952,1.54942,1.9814,0.0008714,0.0008714,0.0008714
59,1561.86,1.29294,0.8645,1.1404,0.54123,0.6944,0.53238,0.26683,1.97055,1.39993,1.96116,0.0008516,0.0008516,0.0008516
60,1593.72,1.23717,0.81134,1.11295,0.58828,0.75676,0.6424,0.26438,1.98913,1.38423,1.96392,0.0008318,0.0008318,0.0008318
61,1628.63,1.24374,0.90665,1.16023,0.56959,0.70588,0.62208,0.28098,1.98969,1.40393,1.92727,0.000812,0.000812,0.000812
62,1653.1,1.19098,0.84523,1.13667,0.65098,0.64706,0.63663,0.28527,2.00725,1.39055,1.88569,0.0007922,0.0007922,0.0007922
63,1677.38,1.19274,0.78299,1.08996,0.70637,0.82353,0.72081,0.33419,1.94994,1.27042,1.77725,0.0007724,0.0007724,0.0007724
64,1702.32,1.26318,0.83966,1.13131,0.77712,0.88235,0.77167,0.34854,1.95083,1.31534,1.78072,0.0007526,0.0007526,0.0007526
65,1727.82,1.21421,0.84312,1.13161,0.72424,0.82353,0.66764,0.31691,2.00792,1.35456,1.85179,0.0007328,0.0007328,0.0007328
66,1753.74,1.14501,0.75977,1.08886,0.73492,0.81578,0.71333,0.32737,2.07158,1.38474,1.94713,0.000713,0.000713,0.000713
67,1779.6,1.15564,0.748,1.09499,0.6985,0.81795,0.65019,0.28354,2.11054,1.49343,2.03018,0.0006932,0.0006932,0.0006932
68,1804.7,1.25919,0.80886,1.15588,0.68901,0.82353,0.65711,0.28494,2.06482,1.49409,2.02354,0.0006734,0.0006734,0.0006734
69,1829.21,1.13931,0.75497,1.08468,0.69672,0.82353,0.65005,0.29102,2.11812,1.41047,2.04066,0.0006536,0.0006536,0.0006536
70,1853.61,1.09149,0.75686,1.08312,0.69543,0.82353,0.65242,0.26833,2.0481,1.37055,1.98176,0.0006338,0.0006338,0.0006338
71,1887.58,1.08318,0.72372,1.06837,0.65812,0.82353,0.64368,0.26853,2.03069,1.38893,2.0051,0.000614,0.000614,0.000614
72,1920.41,1.13177,0.7327,1.06415,0.67425,0.76471,0.61308,0.26028,2.12923,1.39793,2.08744,0.0005942,0.0005942,0.0005942
73,1945.33,1.11691,0.7245,1.07169,0.69902,0.70588,0.61813,0.28335,2.11856,1.39293,2.08368,0.0005744,0.0005744,0.0005744
74,1971.32,1.12444,0.74295,1.07216,0.71098,0.57938,0.61379,0.28436,2.04709,1.48716,2.02531,0.0005546,0.0005546,0.0005546
75,1997.66,1.10223,0.71148,1.05827,0.73187,0.64255,0.56604,0.267,2.05048,1.47767,2.06012,0.0005348,0.0005348,0.0005348
76,2023.54,1.11206,0.72819,1.06092,0.7092,0.64706,0.58447,0.27305,2.00802,1.51672,2.03545,0.000515,0.000515,0.000515
77,2048.54,1.07601,0.68712,1.04172,0.65898,0.68282,0.59271,0.27131,1.83889,1.66676,1.8483,0.0004952,0.0004952,0.0004952
78,2073.7,1.15929,0.71082,1.0758,0.63831,0.70588,0.57787,0.26691,1.84509,1.64877,1.87479,0.0004754,0.0004754,0.0004754
79,2098.32,1.1132,0.717,1.0661,0.70572,0.76471,0.61439,0.23984,1.94306,1.51684,1.97099,0.0004556,0.0004556,0.0004556
80,2122.88,1.05456,0.67865,1.02227,0.7059,0.76471,0.61979,0.23752,2.01416,1.50332,2.07922,0.0004358,0.0004358,0.0004358
81,2147.38,1.04648,0.70864,1.03984,0.72795,0.70588,0.62156,0.22316,2.0214,1.53039,2.09543,0.000416,0.000416,0.000416
82,2172.07,1.06273,0.6996,1.04451,0.66949,0.76471,0.61803,0.22779,2.02518,1.52524,2.10116,0.0003962,0.0003962,0.0003962
83,2197.94,1.03898,0.68624,1.03621,0.67336,0.76471,0.62768,0.23943,1.99899,1.47627,2.06795,0.0003764,0.0003764,0.0003764
84,2223.88,1.02461,0.65625,1.02335,0.72773,0.70588,0.62576,0.23082,2.02338,1.48211,2.07159,0.0003566,0.0003566,0.0003566
85,2249.94,1.01624,0.70398,1.06083,0.7033,0.64706,0.55701,0.22387,2.03129,1.51848,2.07025,0.0003368,0.0003368,0.0003368
86,2283.71,1.06648,0.67954,1.06863,0.71501,0.64706,0.56018,0.23435,2.02432,1.49547,2.08875,0.000317,0.000317,0.000317
87,2319.08,0.99889,0.6733,1.02026,0.68743,0.64706,0.5793,0.22516,2.00929,1.49076,2.17943,0.0002972,0.0002972,0.0002972
88,2343.36,1.00085,0.64637,1.01625,0.7067,0.64706,0.57725,0.26067,2.03304,1.47297,2.13546,0.0002774,0.0002774,0.0002774
89,2367.3,1.00016,0.64165,1.0215,0.70091,0.64706,0.60964,0.27708,2.02185,1.46508,2.11835,0.0002576,0.0002576,0.0002576
90,2391.71,0.96485,0.64455,1.01222,0.73589,0.70588,0.61164,0.28452,2.00102,1.46943,2.07733,0.0002378,0.0002378,0.0002378
91,2416.23,0.92048,0.63101,0.98172,0.74196,0.70588,0.62195,0.30202,1.97097,1.37747,2.05485,0.000218,0.000218,0.000218
92,2440.86,0.93465,0.62932,1.05571,0.67957,0.74915,0.62796,0.30421,1.98548,1.32649,2.06092,0.0001982,0.0001982,0.0001982
93,2464.73,0.94693,0.6155,1.02864,0.74762,0.69748,0.6303,0.31537,1.97765,1.24498,2.04282,0.0001784,0.0001784,0.0001784
94,2489.23,0.8568,0.60306,0.98546,0.74334,0.70588,0.62907,0.30694,1.96091,1.25156,2.01514,0.0001586,0.0001586,0.0001586
95,2513.43,0.91047,0.60937,0.99682,0.72589,0.70588,0.62571,0.30022,1.92542,1.34125,1.96644,0.0001388,0.0001388,0.0001388
96,2538.04,0.86,0.59342,0.96812,0.72885,0.70588,0.63177,0.31157,1.90721,1.30748,1.97189,0.000119,0.000119,0.000119
97,2562.06,0.9031,0.59119,0.98974,0.74889,0.70588,0.62687,0.3109,1.899,1.29676,1.96398,9.92e-05,9.92e-05,9.92e-05
98,2586.06,0.83886,0.56677,0.96715,0.68042,0.752,0.62843,0.31237,1.86614,1.29481,1.95533,7.94e-05,7.94e-05,7.94e-05
99,2610.44,0.83862,0.56877,0.98127,0.68258,0.75924,0.61201,0.30742,1.86994,1.28386,1.97218,5.96e-05,5.96e-05,5.96e-05
100,2634.91,0.86311,0.58087,0.97686,0.68333,0.76177,0.60638,0.2996,1.89437,1.2827,1.99426,3.98e-05,3.98e-05,3.98e-05
