epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7428,2.37734,3.34341,1.88964,0.00436,1,0.36896,0.19217,1.66145,3.75907,1.43642,0.000615385,0.000615385,0.000615385
2,52.9869,2.01947,2.36747,1.58665,0.00436,1,0.27904,0.17372,1.63424,3.58234,1.39117,0.00126936,0.00126936,0.00126936
3,79.432,2.12654,2.36641,1.67069,0.23015,0.29412,0.24456,0.14586,1.92056,3.79282,1.67064,0.00191013,0.00191013,0.00191013
4,105.333,2.121,2.47963,1.67727,0.45902,0.10318,0.15109,0.0621,2.05952,4.10807,1.7931,0.0019406,0.0019406,0.0019406
5,131.577,2.00132,2.26387,1.59507,0.37438,0.29412,0.31678,0.1468,2.03597,3.10289,1.83625,0.0019208,0.0019208,0.0019208
6,156.6,1.96847,2.28474,1.59396,0.2945,0.41176,0.32926,0.15367,1.95855,2.99902,1.68282,0.001901,0.001901,0.001901
7,181.798,2.0878,2.12378,1.66389,0.47585,0.41176,0.36973,0.17912,2.05333,2.88025,1.74917,0.0018812,0.0018812,0.0018812
8,207.244,2.01491,2.08686,1.58244,0.28942,0.41176,0.36685,0.16712,2.25552,3.02289,2.10524,0.0018614,0.0018614,0.0018614
9,233.068,1.94455,1.99539,1.56319,0.25508,0.47059,0.24486,0.07494,2.40113,3.1428,2.21176,0.0018416,0.0018416,0.0018416
10,273.231,1.97312,1.81637,1.55423,0.33872,0.47059,0.37966,0.12522,2.248,3.06308,2.02085,0.0018218,0.0018218,0.0018218
11,301.766,1.96916,1.85339,1.5973,0.51112,0.47059,0.44318,0.16725,2.03068,2.84558,1.76298,0.001802,0.001802,0.001802
12,327.786,1.92704,1.79269,1.53644,0.44883,0.58824,0.41274,0.19449,1.94454,2.78474,1.78198,0.0017822,0.0017822,0.0017822
13,353.901,1.85845,1.70623,1.50529,0.46822,0.70588,0.59314,0.24809,2.10538,2.57404,1.87424,0.0017624,0.0017624,0.0017624
14,379.67,1.95753,1.81464,1.53392,0.5147,0.64706,0.55182,0.24126,2.02025,2.43808,1.72303,0.0017426,0.0017426,0.0017426
