epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2702,0.95958,4.60109,1.33139,0,0,0,0,0.89403,4.92004,1.35866,0.000423407,0.000423407,0.000423407
2,116.303,0.9732,3.35698,1.32153,0.2629,0.33466,0.12295,0.10122,1.07626,4.45218,1.62103,0.000881926,0.000881926,0.000881926
3,184.34,1.11784,2.64267,1.47667,0.05923,0.42519,0.04324,0.02579,1.61642,11.7277,2.54939,0.00132158,0.00132158,0.00132158
4,250.224,1.19453,2.40553,1.5171,0.26655,0.26314,0.17456,0.09543,1.54868,6.816,2.35868,0.00134412,0.00134412,0.00134412
5,318.606,1.11961,2.0137,1.46865,0.17533,0.34455,0.25872,0.11553,1.53417,12.9371,2.54012,0.00131582,0.00131582,0.00131582
6,381.573,1.13423,1.89407,1.49745,0.26028,0.32319,0.26993,0.16022,1.51022,18.6909,2.1424,0.00128753,0.00128753,0.00128753
7,451.119,1.00569,1.77552,1.39153,0.34592,0.36308,0.19953,0.15735,1.46374,11.8497,1.88619,0.00125923,0.00125923,0.00125923
8,514.751,1.02435,1.83721,1.40649,0.26133,0.48135,0.21302,0.15903,1.49971,5.03635,1.89514,0.00123094,0.00123094,0.00123094
9,576.66,1.02358,1.78369,1.39723,0.44563,0.37564,0.37468,0.2756,1.40047,2.72791,1.75767,0.00120265,0.00120265,0.00120265
10,643.165,0.93305,1.6037,1.32215,0.40209,0.32503,0.36654,0.28548,1.20803,3.12361,1.65552,0.00117435,0.00117435,0.00117435
11,710.325,0.94765,1.56019,1.33392,0.42904,0.34596,0.394,0.3174,1.00498,2.64136,1.48342,0.00114606,0.00114606,0.00114606
12,778.117,0.91752,1.53718,1.28045,0.59853,0.48275,0.53693,0.39186,1.10247,2.30141,1.53171,0.00111776,0.00111776,0.00111776
13,845.344,0.92221,1.49158,1.31558,0.21172,0.51504,0.22893,0.1332,1.2454,5.74664,1.64399,0.00108947,0.00108947,0.00108947
14,911.715,0.95896,1.47711,1.33319,0.28339,0.60066,0.36424,0.19932,1.14872,3.4881,1.56566,0.00106118,0.00106118,0.00106118
15,977.517,1.00791,1.44317,1.32817,0.35998,0.35116,0.34097,0.24108,1.12459,1.97009,1.49246,0.00103288,0.00103288,0.00103288
16,1044.03,0.88491,1.40555,1.25459,0.53275,0.48969,0.45211,0.32265,1.1134,1.81696,1.46966,0.00100459,0.00100459,0.00100459
17,1106.06,0.91201,1.3549,1.25731,0.65015,0.401,0.56437,0.42954,1.08411,1.62262,1.47053,0.000976293,0.000976293,0.000976293
18,1162.62,0.89078,1.33973,1.25542,0.56086,0.56645,0.54991,0.40232,1.00004,1.5722,1.47144,0.000947999,0.000947999,0.000947999
19,1219.68,0.87559,1.22225,1.20308,0.60627,0.59369,0.5909,0.43691,0.95807,1.56308,1.4003,0.000919704,0.000919704,0.000919704
20,1275.99,0.83693,1.28947,1.2381,0.62692,0.60049,0.63313,0.47401,1.00216,1.67842,1.42342,0.00089141,0.00089141,0.00089141
21,1333.09,0.81581,1.26518,1.16973,0.6969,0.58071,0.69397,0.54427,0.93523,1.39578,1.39638,0.000863116,0.000863116,0.000863116
22,1390.08,0.81052,1.25455,1.20939,0.69854,0.52443,0.6029,0.44307,0.91647,1.39772,1.35285,0.000834822,0.000834822,0.000834822
23,1445.35,0.74104,1.20181,1.17446,0.69736,0.43676,0.57225,0.40898,0.90215,1.50297,1.33827,0.000806528,0.000806528,0.000806528
24,1501.03,0.73341,1.14927,1.15354,0.64061,0.40148,0.50816,0.36505,0.9548,1.67329,1.38801,0.000778233,0.000778233,0.000778233
25,1556.49,0.75757,1.17581,1.17006,0.66511,0.49451,0.56859,0.41445,1.02619,1.57747,1.4506,0.000749939,0.000749939,0.000749939
26,1612.81,0.73984,1.12305,1.1736,0.72889,0.43642,0.5671,0.39471,1.02709,1.45017,1.42346,0.000721645,0.000721645,0.000721645
27,1668.68,0.72057,1.10632,1.16642,0.74621,0.5846,0.67238,0.51607,1.00114,1.43387,1.44032,0.000693351,0.000693351,0.000693351
28,1723.95,0.76267,1.12949,1.14199,0.72056,0.63858,0.72194,0.57391,0.90098,1.27533,1.36241,0.000665057,0.000665057,0.000665057
29,1779.53,0.68054,1.00277,1.11468,0.77785,0.63468,0.72857,0.59518,0.86526,1.2029,1.33047,0.000636762,0.000636762,0.000636762
30,1834.45,0.67086,1.0129,1.11461,0.80864,0.67496,0.74699,0.58592,0.85419,1.14445,1.30204,0.000608468,0.000608468,0.000608468
31,1890.33,0.7089,1.04909,1.12689,0.8071,0.68247,0.74371,0.59292,0.82066,1.10896,1.28407,0.000580174,0.000580174,0.000580174
32,1945.83,0.6835,1.03304,1.12387,0.8605,0.67567,0.79552,0.63046,0.81661,1.04751,1.27525,0.00055188,0.00055188,0.00055188
33,2001.72,0.74122,0.95358,1.11462,0.81407,0.69114,0.80658,0.63441,0.81629,1.05468,1.24427,0.000523586,0.000523586,0.000523586
34,2057.21,0.65796,0.9077,1.09342,0.82879,0.63585,0.80811,0.65788,0.80145,1.00919,1.22812,0.000495291,0.000495291,0.000495291
35,2114.58,0.63458,0.95152,1.07572,0.85623,0.66794,0.81446,0.65179,0.79232,1.03293,1.22711,0.000466997,0.000466997,0.000466997
