epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,2170.04,0.61122,0.93422,1.09077,0.73114,0.78843,0.83994,0.66098,0.80413,1.02393,1.22977,0.000438703,0.000438703,0.000438703
37,2225.51,0.59725,0.9113,1.06677,0.82118,0.66527,0.84258,0.67474,0.8003,1.03017,1.21808,0.000410409,0.000410409,0.000410409
38,2282.78,0.65717,0.89644,1.08821,0.74299,0.66291,0.81075,0.65677,0.76275,1.03091,1.18542,0.000382115,0.000382115,0.000382115
39,2339.08,0.6297,0.8886,1.07889,0.70999,0.70797,0.83207,0.68271,0.75932,0.97577,1.18813,0.00035382,0.00035382,0.00035382
40,2394.82,0.56288,0.82331,1.0284,0.72721,0.70235,0.81506,0.66831,0.75112,0.93044,1.18789,0.000325526,0.000325526,0.000325526
41,2450.51,0.64183,1.18253,1.11942,0.85063,0.69608,0.84149,0.68822,0.7514,0.9324,1.18145,0.000297232,0.000297232,0.000297232
42,2505.37,0.63966,1.10086,1.13595,0.86316,0.74301,0.83885,0.68289,0.82599,1.13795,1.21042,0.000268938,0.000268938,0.000268938
43,2560.66,0.63084,1.16552,1.06003,0.86558,0.73719,0.81331,0.66209,0.83954,1.20179,1.2079,0.000240644,0.000240644,0.000240644
44,2615.75,0.62014,1.07334,1.10813,0.81926,0.69608,0.80274,0.63567,0.81744,1.1147,1.19088,0.000212349,0.000212349,0.000212349
45,2670.97,0.61191,0.96342,1.07499,0.86451,0.68066,0.84606,0.67501,0.7867,0.985,1.17772,0.000184055,0.000184055,0.000184055
46,2725.74,0.57941,0.89274,1.05781,0.91195,0.71497,0.88125,0.72724,0.73693,0.91211,1.15893,0.000155761,0.000155761,0.000155761
47,2780.28,0.60328,0.86775,1.07423,0.8121,0.84124,0.89742,0.73874,0.73622,0.91836,1.1614,0.000127467,0.000127467,0.000127467
48,2835.33,0.59516,0.88657,1.05663,0.83879,0.8039,0.88675,0.72152,0.74119,0.93054,1.16521,9.91726e-05,9.91726e-05,9.91726e-05
49,2889.95,0.56242,0.79734,1.04077,0.8492,0.78975,0.88584,0.72051,0.73724,0.93013,1.1657,7.08784e-05,7.08784e-05,7.08784e-05
50,2945.46,0.56296,0.85331,1.04731,0.83629,0.79033,0.88736,0.72764,0.72668,0.92268,1.15463,4.25842e-05,4.25842e-05,4.25842e-05
