epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1530.74,0.825,1.32049,1.19986,0.66366,0.5832,0.66848,0.5191,0.91747,1.39053,1.3599,0.000947999,0.000947999,0.000947999
19,1615.68,0.82985,1.35304,1.19207,0.60695,0.57711,0.65906,0.4507,1.00136,1.84585,1.40763,0.000919704,0.000919704,0.000919704
20,1702.57,0.82155,1.34386,1.22455,0.51623,0.55925,0.51351,0.38824,1.01476,2.11564,1.40089,0.00089141,0.00089141,0.00089141
21,1789.29,0.78151,1.21434,1.15687,0.5659,0.52234,0.52407,0.39001,0.9998,2.09021,1.40163,0.000863116,0.000863116,0.000863116
22,1874.38,0.71371,1.16574,1.15095,0.59483,0.65857,0.66235,0.52619,0.88243,1.3438,1.33229,0.000834822,0.000834822,0.000834822
23,1951.8,0.75375,1.19355,1.17502,0.46984,0.72799,0.63421,0.4796,0.95054,1.30249,1.40192,0.000806528,0.000806528,0.000806528
24,2027.62,0.7626,1.16697,1.15767,0.81047,0.6103,0.75971,0.57815,0.89249,1.19509,1.31273,0.000778233,0.000778233,0.000778233
25,2103.37,0.71566,1.12313,1.13271,0.73888,0.63817,0.75026,0.58063,0.89006,1.24596,1.31236,0.000749939,0.000749939,0.000749939
26,2188.09,0.73048,1.09789,1.12091,0.67599,0.67228,0.74087,0.57637,0.84274,1.33177,1.28359,0.000721645,0.000721645,0.000721645
27,2270.91,0.67649,1.07094,1.10863,0.62956,0.6886,0.73675,0.58416,0.85571,1.1887,1.28266,0.000693351,0.000693351,0.000693351
28,2355.63,0.71857,1.11224,1.13058,0.74836,0.69267,0.75355,0.57955,0.91438,1.21776,1.32439,0.000665057,0.000665057,0.000665057
29,2438.89,0.73786,1.14987,1.1547,0.78067,0.7011,0.73921,0.58728,0.8617,1.25083,1.30563,0.000636762,0.000636762,0.000636762
