fruit_class,feature,S_max,M_max,L_max,XL
apple,equivalent_diameter_ratio,0.7874871732447143,0.8123009148354363,0.8342386595900984,> 0.834239
banana,major_axis_ratio,0.8464888819991405,0.906080243124403,0.9608964911079905,> 0.960896
orange,equivalent_diameter_ratio,0.6761545794217434,0.7261380263612358,0.7980878168483231,> 0.798088
mango,major_axis_ratio,0.4667176859719412,0.5505535370962961,0.6747064590454102,> 0.674706
strawberry,equivalent_diameter_ratio,0.271556983222873,0.3374028039874414,0.3982002547360311,> 0.398200
